path,directory,filename,extension,size_bytes,line_count,category,status,purpose,entry_point,imported_by,imports,input_artifacts,output_artifacts,environment_variables,safety_notes,related_files,generated,source_control_recommended,confidence,notes
.gitignore,.,.gitignore,,93,8,source,tracked,.gitignore script/module.,no,,,,,,,,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
4dVoxel.js,.,4dVoxel.js,.js,55671,1776,node/browser app,tracked,4dvoxel script/module.,no,,,,,,,,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
4dv.html,.,4dv.html,.html,1686,83,node/browser app,tracked,4dv script/module.,no,,,,,,,,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
docs/micro_event_only_workflow.md,docs,micro_event_only_workflow.md,.md,621,16,documentation,tracked,Micro event only workflow script/module.,no,,,,,,,scripts/backtest_10s_microstructure_model.py; scripts/build_10s_microstructure_training_rows.py; scripts/build_tiny_macro_event_features.py; scripts/microstructure_model_utils.py; scripts/report_tiny_macro_event_feature_audit.py; scripts/show_latest_10s_microstructure_prediction.py; scripts/simulate_market_microstructure.py; scripts/tiny/simulation/simulate_market_microstructure.py; scripts/train_10s_microstructure_model.py; src/eventFeatures.js,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
docs/synthetic_calibration.md,docs,synthetic_calibration.md,.md,2523,35,documentation,tracked,Synthetic calibration script/module.,no,,,,,,,scripts/run_tiny_raw_calibration_shadow.py; scripts/tiny/simulation/synthetic_holdout_report.py,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
dual-projection.html,.,dual-projection.html,.html,13574,470,node/browser app,tracked,Dual-projection script/module.,no,,,,,,,,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
file.html,.,file.html,.html,0,0,node/browser app,tracked,File script/module.,no,,,,,,,,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
main.html,.,main.html,.html,9654,351,node/browser app,tracked,Main script/module.,no,,,,,,,,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
main.js,.,main.js,.js,27097,827,node/browser app,tracked,Main script/module.,yes,,,,,,,,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
package-lock.json,.,package-lock.json,.json,33010,898,source,tracked,Package-lock script/module.,no,,,,,,,package.json,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
package.json,.,package.json,.json,14281,174,source,tracked,Package script/module.,no,,,,,,,package-lock.json,false,true,medium,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/backtest_10s_microstructure_model.py,scripts,backtest_10s_microstructure_model.py,.py,11644,277,evaluation/backtest,tracked,Backtest 10s microstructure model script/module.,yes,,microstructure_model_utils; numpy; os; pandas; pathlib,csv inputs; model.json,csv reports; model.json; txt/json reports,MICROSTRUCTURE_MODEL_PATH; MICRO_EVENT_PROB_TEMPERATURE; OUTPUT_DIR; PRIMARY_VENUE; PROBABILITY_THRESHOLD; SYMBOL; TRAIN_SPLIT,paper-only/no-orders language present,scripts/backtest_1m_flow_predictions.py; scripts/backtest_ensemble_predictions.py; scripts/backtest_offer_acceptance_model.py; scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/build_10s_microstructure_training_rows.py; scripts/evaluate_tiny_model_T_v1_shadow.py; scripts/live_3m_model_utils.py; scripts/microstructure_model_utils.py; scripts/offer_model_utils.py; scripts/predict_old_5m_model_on_recent_data.py; scripts/report_tiny_model_challenger_promotion.py; scripts/report_tiny_price_base_vs_cost_gate_backtest.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/backtest_1m_flow_predictions.py,scripts,backtest_1m_flow_predictions.py,.py,11181,337,evaluation/backtest,tracked,Backtest 1m flow predictions script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,COST_PROFILE; ESTIMATED_SLIPPAGE; LONG_THRESHOLD; MAKER_ROUND_TRIP_COST; MAX_NEUTRAL_THRESHOLD; OUTPUT_DIR; RETURN_HORIZON; ROUND_TRIP_COST; ROUND_TRIP_COST; SHORT_THRESHOLD; SPREAD_COST; SYMBOL; TAKER_ROUND_TRIP_COST,,scripts/backtest_10s_microstructure_model.py; scripts/backtest_ensemble_predictions.py; scripts/backtest_offer_acceptance_model.py; scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/evaluate_tiny_price_ensemble_live_predictions.py; scripts/evaluate_tiny_price_predictions.py; scripts/label_live_3m_predictions.py; scripts/refresh_tiny_price_forward_test_predictions.py; scripts/replay_tiny_price_live_predictions.py; scripts/report_tiny_price_base_vs_cost_gate_backtest.py; scripts/show_tiny_price_shadow_pool_predictions.py; scripts/smoke_backtest_pinned_tiny_price_ensemble.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/backtest_ensemble_predictions.py,scripts,backtest_ensemble_predictions.py,.py,7308,208,evaluation/backtest,tracked,Backtest ensemble predictions script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,COST_PROFILE; ESTIMATED_SLIPPAGE; LONG_THRESHOLD; MAKER_ROUND_TRIP_COST; MAX_NEUTRAL_THRESHOLD; ROUND_TRIP_COST; ROUND_TRIP_COST; SHORT_THRESHOLD; SPREAD_COST; SYMBOL; TAKER_ROUND_TRIP_COST,,scripts/backtest_10s_microstructure_model.py; scripts/backtest_1m_flow_predictions.py; scripts/backtest_offer_acceptance_model.py; scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/build_ensemble_training_rows.py; scripts/evaluate_tiny_price_ensemble.py; scripts/evaluate_tiny_price_ensemble_live_predictions.py; scripts/evaluate_tiny_price_predictions.py; scripts/evaluate_tiny_price_walk_forward_ensemble.py; scripts/label_live_3m_predictions.py; scripts/refresh_tiny_price_forward_test_predictions.py; scripts/replay_tiny_price_live_predictions.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/backtest_offer_acceptance_model.py,scripts,backtest_offer_acceptance_model.py,.py,11680,292,evaluation/backtest,tracked,Backtest offer acceptance model script/module.,yes,,numpy; offer_model_utils; os; pandas; pathlib,csv inputs; model.json,csv reports; model.json; txt/json reports,ACCEPT_THRESHOLD; CANDIDATE_MODEL_PATH; MODEL_OUTPUT_TAG; OFFER_TRAINING_PATH; SYMBOL,paper-only/no-orders language present; promotion/champion mutation terms present; audit before operational use,scripts/backtest_10s_microstructure_model.py; scripts/backtest_1m_flow_predictions.py; scripts/backtest_ensemble_predictions.py; scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/build_historical_offer_training_rows.py; scripts/build_live_offer_training_rows.py; scripts/offer_model_utils.py; scripts/report_tiny_price_base_vs_cost_gate_backtest.py; scripts/show_latest_offer_scores.py; scripts/smoke_backtest_pinned_tiny_price_ensemble.py; scripts/train_offer_acceptance_model.py; src/backtest.js,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py,scripts,backtest_pinned_tiny_price_ensemble_on_snapshots.py,.py,22724,514,evaluation/backtest,tracked,Backtest pinned tiny price ensemble on snapshots script/module.,yes,,datetime; evaluate_tiny_price_ensemble_live_predictions; json; numpy; os; pandas; pandas.errors; pathlib; show_tiny_price_ensemble_prediction; sys,csv inputs,csv reports,BACKTEST_END_TS; BACKTEST_MAX_ROWS; BACKTEST_OUTPUT_PATH; BACKTEST_SNAPSHOT_PATH; BACKTEST_START_TS; BACKTEST_STRIDE_ROWS; OUTPUT_DIR; PRICE_TINY_ENSEMBLE_ALLOW_CROSS_VENUE_MODEL_PINS; PRICE_TINY_ENSEMBLE_FEATURE_GROUPS; PRICE_TINY_ENSEMBLE_FEATURE_SCHEMA_HASH; PRICE_TINY_ENSEMBLE_INSTABILITY_MODEL_PATH; PRICE_TINY_ENSEMBLE_INSTABILITY_TARGET_SPEC; PRICE_TINY_ENSEMBLE_MOVE_MODEL_PATH; PRICE_TINY_ENSEMBLE_MOVE_TARGET_SPEC; PRICE_TINY_ENSEMBLE_REQUIRED_FEATURE_SCHEMA_HASH; PRICE_TINY_ENSEMBLE_RUN_ID; PRIMARY_VENUE; SYMBOL,paper-only/no-orders language present; promotion/champion mutation terms present; audit before operational use,scripts/backtest_10s_microstructure_model.py; scripts/backtest_1m_flow_predictions.py; scripts/backtest_ensemble_predictions.py; scripts/backtest_offer_acceptance_model.py; scripts/bootstrap_tiny_price_champion.py; scripts/build_multi_source_tiny_price_training_rows.py; scripts/build_tiny_price_ta_labels.py; scripts/build_tiny_price_technical_features.py; scripts/build_tiny_price_training_rows.py; scripts/diagnose_tiny_price_v2_candidate.py; scripts/discover_tiny_price_technical_rules.py; scripts/evaluate_tiny_price_ensemble.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/bootstrap_tiny_price_champion.py,scripts,bootstrap_tiny_price_champion.py,.py,10222,248,source,tracked,Bootstrap tiny price champion script/module.,yes,,datetime; json; os; pathlib,model.json,model.json; txt/json reports,PRICE_TINY_ALLOWED_SHADOW_MODEL_TYPES; PRICE_TINY_BOOTSTRAP_OBJECTIVE; PRICE_TINY_BOOTSTRAP_OVERWRITE; PRICE_TINY_CONFIDENCE_THRESHOLD; PRICE_TINY_MAX_ACTIVE_CHALLENGERS; PRICE_TINY_REGIME_GATE; PRICE_TINY_THRESHOLD; PRIMARY_VENUE; SYMBOL,paper-only/no-orders language present,scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/build_multi_source_tiny_price_training_rows.py; scripts/build_tiny_price_ta_labels.py; scripts/build_tiny_price_technical_features.py; scripts/build_tiny_price_training_rows.py; scripts/diagnose_tiny_price_v2_candidate.py; scripts/discover_tiny_price_technical_rules.py; scripts/evaluate_tiny_price_ensemble.py; scripts/evaluate_tiny_price_ensemble_live_predictions.py; scripts/evaluate_tiny_price_predictions.py; scripts/evaluate_tiny_price_shadow_pool.py; scripts/evaluate_tiny_price_snapshot_holdout.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
